Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value,Beta,Select,,analysis_id
alcohol intake custom,alcohol_intake_custom,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,,393099,,5.41830649836521e-10,-0.0468462440435482,,,continuous-alcohol_intake_custom-both_sexes--custom
Total protein,30860,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,344688,,2.7061729007694e-9,-0.0496009584065328,,,continuous-30860-both_sexes--irnt
IGF-1,30770,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,374755,,0.0000020615971963872,0.0367223241450456,,,continuous-30770-both_sexes--irnt
Cholesterol,30690,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376808,,0.00000209667433456831,-0.0369618331484223,,,continuous-30690-both_sexes--irnt
LDL direct,30780,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376106,,0.00000247500278378095,-0.0373231976385667,,,continuous-30780-both_sexes--irnt
Albumin,30600,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,345108,,0.00000904008010766174,-0.0366558583810384,,,continuous-30600-both_sexes--irnt
F10 Mental and behavioural disorders due to use of alcohol,130854,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,7757,387084,0.0000162909974660392,-0.250094627695385,,,icd_first_occurrence-130854-both_sexes--
Calcium,30680,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,344966,,0.0000621000030023767,-0.0334727660356521,,,continuous-30680-both_sexes--irnt
Glucose,30740,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,344692,,0.00015988085017994,-0.0317499984658778,,,continuous-30740-both_sexes--irnt
E25.3 Diagnostic endoscopic examination of nasopharynx NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,314,394527,0.000217793059738707,0.989513947459813,,,categorical-41210-both_sexes-E253-
Apolipoprotein B,30640,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,374968,,0.000225657446816114,-0.0292540010586063,,,continuous-30640-both_sexes--irnt
Mean corpuscular haemoglobin,30050,continuous,,Biological samples > Assay results > Blood assays > Blood count,,383466,,0.000295261173699274,-0.0273084395256213,,,continuous-30050-both_sexes--irnt
Mean corpuscular volume,30040,continuous,,Biological samples > Assay results > Blood assays > Blood count,,383467,,0.000432935241769629,-0.0266588783245357,,,continuous-30040-both_sexes--irnt
E03.6 Septoplasty of nose NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,387,394454,0.000612461759226114,0.846936338128859,,,categorical-41210-both_sexes-E036-
Alanine aminotransferase,30620,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376687,,0.000698089776023814,-0.0254480869513644,,,continuous-30620-both_sexes--irnt
"Medication for cholesterol, blood pressure or diabetes",6177,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication,,41662,137885,0.000757518015615037,-0.0942278312138516,,,categorical-6177-both_sexes-1-
